=== Robin Hood Benchmark (WITH SMART BACKOFF) ===
Inserting 655360 keys into table of size 65536
Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms
64,16,1024,551.956726,546.650085,565.529602,6.514407
64,32,2048,453.272949,349.146118,526.359314,69.041428
64,64,4096,441.852875,436.970490,448.277496,3.242780
64,128,8192,286.556671,245.074951,418.710419,66.106094
64,256,16384,289.500916,244.804611,447.422180,75.606972
64,512,32768,344.016876,238.078690,456.383392,99.776154
128,16,2048,563.150879,551.512085,569.120789,6.297321
128,32,4096,483.891937,361.731842,529.723450,62.010204
128,64,8192,456.851074,444.568207,463.462311,4.894193
128,128,16384,290.315002,247.071487,440.393646,72.556549
128,256,32768,286.676727,245.310181,437.762054,75.150055
128,512,65536,360.416443,237.308929,446.738525,97.485252
256,16,4096,568.440430,560.155640,576.209900,4.369639
256,32,8192,509.485748,401.926147,537.384949,38.879421
256,64,16384,438.471924,432.230255,445.679626,3.720719
256,128,32768,282.769073,241.101471,431.005707,69.820694
256,256,65536,287.233337,245.849091,438.326263,73.404327
256,512,131072,381.224670,232.931259,449.415161,94.517693
512,16,8192,562.257935,550.152954,567.398254,5.531162
512,32,16384,460.302979,345.057281,536.826904,67.715744
512,64,32768,457.256775,442.929138,463.367889,5.779814
512,128,65536,302.260223,243.411972,436.793335,79.282623
512,256,131072,315.661469,240.035706,424.349701,87.644569
512,512,262144,319.044067,227.564316,446.518280,99.475464
1024,16,16384,565.585754,562.045898,569.781250,2.855915
1024,32,32768,497.708344,390.672394,525.172791,40.875572
1024,64,65536,442.091003,437.208008,451.827698,3.750000
1024,128,131072,292.671234,254.059525,436.772858,71.364929
1024,256,262144,307.413025,249.621506,437.955597,82.163139
1024,512,524288,383.778717,228.511749,458.337280,90.519333
Filled buckets = 65536 / 65536
