=== Lock Contention Benchmark (NO BACKOFF) ===
Array size: 1 elements (0.00 KB)
Runs per configuration: 10

Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms,Counter,Expected,Correct
1,1,1,0.008893,0.004096,0.043008,0.011381,1,1,YES
1,2,2,0.005046,0.004096,0.006048,0.000608,1,1,YES
1,4,4,0.004813,0.004096,0.005120,0.000469,1,1,YES
1,8,8,0.005530,0.004096,0.009376,0.001438,1,1,YES
1,16,16,0.004726,0.004096,0.005120,0.000484,1,1,YES
1,32,32,0.005213,0.005024,0.006144,0.000312,1,1,YES
1,64,64,0.004826,0.004096,0.006016,0.000603,1,1,YES
1,128,128,0.004883,0.004096,0.006144,0.000607,1,1,YES
1,256,256,0.004608,0.004096,0.005120,0.000512,1,1,YES
2,1,2,0.005642,0.005120,0.006144,0.000503,2,2,YES
2,2,4,0.005824,0.005120,0.006144,0.000448,2,2,YES
2,4,8,0.005325,0.004096,0.006144,0.000614,2,2,YES
2,8,16,0.005533,0.005120,0.006144,0.000471,2,2,YES
2,16,32,0.005616,0.005120,0.006144,0.000498,2,2,YES
2,32,64,0.005424,0.005120,0.006144,0.000451,2,2,YES
2,64,128,0.005658,0.005120,0.006144,0.000488,2,2,YES
2,128,256,0.005610,0.005120,0.006144,0.000489,2,2,YES
2,256,512,0.005539,0.005088,0.006144,0.000479,2,2,YES
4,1,4,0.006746,0.006144,0.007168,0.000477,4,4,YES
4,2,8,0.007546,0.007008,0.011104,0.001187,4,4,YES
4,4,16,0.006963,0.006144,0.007168,0.000394,4,4,YES
4,8,32,0.007066,0.006144,0.007168,0.000307,4,4,YES
4,16,64,0.006797,0.006144,0.007168,0.000453,4,4,YES
4,32,128,0.007024,0.006144,0.007968,0.000507,4,4,YES
4,64,256,0.007370,0.006208,0.012096,0.001626,4,4,YES
4,128,512,0.007270,0.007104,0.008192,0.000309,4,4,YES
4,256,1024,0.007158,0.007072,0.007168,0.000029,4,4,YES
8,1,8,0.009616,0.009216,0.010240,0.000479,8,8,YES
8,2,16,0.009674,0.009056,0.010240,0.000496,8,8,YES
8,4,32,0.009725,0.009216,0.010240,0.000497,8,8,YES
8,8,64,0.009683,0.009216,0.010240,0.000430,8,8,YES
8,16,128,0.009510,0.009216,0.010240,0.000451,8,8,YES
8,32,256,0.009830,0.009216,0.010240,0.000502,8,8,YES
8,64,512,0.009722,0.009216,0.010240,0.000489,8,8,YES
8,128,1024,0.009744,0.009216,0.010240,0.000463,8,8,YES
8,256,2048,0.009328,0.009216,0.010240,0.000305,8,8,YES
16,1,16,0.014637,0.014336,0.015360,0.000460,16,16,YES
16,2,32,0.014643,0.014272,0.015424,0.000484,16,16,YES
16,4,64,0.014560,0.014336,0.015360,0.000404,16,16,YES
16,8,128,0.014541,0.014336,0.015360,0.000360,16,16,YES
16,16,256,0.015165,0.014336,0.018432,0.001177,16,16,YES
16,32,512,0.014438,0.014336,0.015360,0.000307,16,16,YES
16,64,1024,0.014829,0.014336,0.015360,0.000494,16,16,YES
16,128,2048,0.015126,0.014336,0.015360,0.000400,16,16,YES
16,256,4096,0.014864,0.014336,0.017408,0.000936,16,16,YES
32,1,32,0.024678,0.024576,0.025600,0.000307,32,32,YES
32,2,64,0.024570,0.024480,0.024608,0.000030,32,32,YES
32,4,128,0.024582,0.023552,0.025600,0.000458,32,32,YES
32,8,256,0.024493,0.023648,0.024640,0.000282,32,32,YES
32,16,512,0.024720,0.024352,0.025600,0.000402,32,32,YES
32,32,1024,0.024589,0.023552,0.025600,0.000464,32,32,YES
32,64,2048,0.024371,0.023552,0.024576,0.000410,32,32,YES
32,128,4096,0.025178,0.024448,0.029696,0.001538,32,32,YES
32,256,8192,0.024666,0.024448,0.025600,0.000314,32,32,YES
