=== Lock Contention Benchmark (NO BACKOFF) ===
Array size: 2048 elements (8.00 KB)

Blocks,Threads,Total_Threads,Time_ms,Counter,Expected,Correct
1,1,1,0.071,1
1,2,2,0.084,2
1,4,4,0.161,4
1,8,8,0.318,8
1,16,16,0.634,16
1,32,32,1.265,32
1,64,64,2.526,64
1,128,128,5.050,128
1,256,256,10.144,256
2,1,2,0.082,2
2,2,4,0.161,4
2,4,8,0.319,8
2,8,16,0.634,16
2,16,32,1.265,32
2,32,64,2.525,64
2,64,128,5.047,128
2,128,256,10.095,256
2,256,512,20.296,512
4,1,4,0.162,4
4,2,8,0.318,8
4,4,16,0.634,16
4,8,32,1.264,32
4,16,64,2.522,64
4,32,128,5.042,128
4,64,256,10.081,256
4,128,512,20.166,512
4,256,1024,40.679,1024
8,1,8,0.318,8
8,2,16,0.634,16
8,4,32,1.263,32
8,8,64,2.522,64
8,16,128,5.038,128
8,32,256,10.077,256
8,64,512,19.967,512
8,128,1024,35.834,1024
8,256,2048,73.009,2048
16,1,16,0.560,16
16,2,32,1.116,32
16,4,64,2.230,64
16,8,128,4.456,128
16,16,256,8.911,256
16,32,512,17.830,512
16,64,1024,35.817,1024
16,128,2048,72.537,2048
16,256,4096,151.421,4096
32,1,32,1.120,32
32,2,64,2.231,64
32,4,128,4.455,128
32,8,256,8.908,256
32,16,512,17.828,512
32,32,1024,35.804,1024
32,64,2048,72.590,2048
32,128,4096,149.071,4096
32,256,8192,344.787,8192
