=== Robin Hood Benchmark (NO BACKOFF) ===
Inserting 655360 keys into table of size 65536
Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms
64,16,1024,430.978333,428.208130,434.223114,1.571226
64,32,2048,416.283142,413.201416,418.839539,1.586072
64,64,4096,451.254944,447.713287,455.415619,2.193741
64,128,8192,447.309235,442.163025,452.611084,3.159806
64,256,16384,453.430756,439.184387,460.862183,5.938487
64,512,32768,476.275879,467.155823,483.775482,5.182603
128,16,2048,429.895081,426.535950,432.347900,1.709349
128,32,4096,415.948792,410.846222,420.061188,2.899353
128,64,8192,451.336334,447.579132,454.034424,1.690969
128,128,16384,449.031830,444.630951,453.585907,2.527969
128,256,32768,456.945862,452.229126,459.756531,2.436699
128,512,65536,479.080719,474.154999,485.389313,3.330728
256,16,4096,431.136414,427.412476,435.137543,2.046338
256,32,8192,415.621674,413.147766,417.308319,1.268611
256,64,16384,451.638519,448.048126,453.998596,2.204399
256,128,32768,450.267151,446.867462,456.693756,2.730041
256,256,65536,457.068604,451.942413,466.642944,3.826307
256,512,131072,480.789398,474.361847,486.692505,4.048534
512,16,8192,426.425934,416.868347,431.125519,4.477374
512,32,16384,404.571594,400.233459,414.059509,4.385701
512,64,32768,439.486084,431.216644,452.338684,5.916080
512,128,65536,433.023865,429.915131,435.485504,1.672386
512,256,131072,444.629150,438.632446,454.594574,4.829920
512,512,262144,479.473785,471.562225,483.705841,4.073543
1024,16,16384,430.498840,428.726257,432.380676,1.274755
1024,32,32768,411.804993,402.584564,417.452728,5.266344
1024,64,65536,434.868408,432.138916,439.881561,2.200852
1024,128,131072,436.236816,429.531158,447.172607,6.882950
1024,256,262144,441.052307,436.657806,447.259644,3.092329
1024,512,524288,469.426910,456.777740,482.320374,9.563930
Filled buckets = 65536 / 65536
