=== Robin Hood Benchmark (WITH BACKOFF) ===
Inserting 327680 keys into table of size 32768
Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms
64,16,1024,192.965439,192.003067,195.659485,1.030776
64,32,2048,122.248695,118.251297,125.186050,2.672378
64,64,4096,116.851273,115.265533,120.234818,1.481988
64,128,8192,101.714554,86.916771,117.147652,10.943614
64,256,16384,109.772690,81.191933,120.174431,12.464402
64,512,32768,116.769791,108.401665,122.469376,3.500139
128,16,2048,196.863937,192.274200,201.435806,3.854279
128,32,4096,119.625183,118.140930,123.261955,1.447317
128,64,8192,111.182518,110.850044,111.593277,0.209631
128,128,16384,110.374069,109.983742,111.310844,0.360393
128,256,32768,112.614243,111.769600,113.645569,0.617929
128,512,65536,117.602928,115.214333,120.581123,1.564686
256,16,4096,193.105484,192.306183,194.608124,0.693159
256,32,8192,121.755882,118.363136,126.429153,2.482556
256,64,16384,115.835571,115.147743,117.640800,0.751951
256,128,32768,115.930260,110.919678,121.305984,2.737365
256,256,65536,94.948250,84.366081,117.403648,11.649001
256,512,131072,115.542931,98.722816,124.847107,7.366719
512,16,8192,200.016113,199.110748,201.201660,0.605960
512,32,16384,125.546898,122.413055,130.019333,2.252819
512,64,32768,112.058998,110.812157,116.524994,1.857470
512,128,65536,112.120132,89.628670,119.537727,8.117124
512,256,131072,99.873795,74.955772,113.986435,13.780647
512,512,262144,117.820328,111.830688,120.313858,2.230383
1024,16,16384,196.907181,191.456223,201.680893,3.446579
1024,32,32768,122.692398,119.714882,124.754944,1.863768
1024,64,65536,115.731407,114.138847,117.714653,0.852959
1024,128,131072,112.813011,100.628479,118.803169,4.927997
1024,256,262144,112.270264,81.235970,121.253891,12.403140
1024,512,524288,115.805344,91.711487,124.525566,11.188679
Filled buckets = 32768 / 32768
