=== Robin Hood Benchmark (WITH BACKOFF) ===
Inserting 327680 keys into table of size 32768
Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms
64,16,1024,152.947540,151.415802,154.836761,0.924916
64,32,2048,121.712585,121.201599,122.203133,0.296464
64,64,4096,111.272202,108.389091,114.511871,1.909833
64,128,8192,103.451866,80.414719,129.844223,14.378328
64,256,16384,95.110336,77.682335,113.632004,12.943047
64,512,32768,120.023804,108.953278,137.354401,6.724997
128,16,2048,161.572357,151.926590,173.757339,6.742907
128,32,4096,126.463974,121.544701,133.227524,3.379338
128,64,8192,113.721603,109.810623,116.254723,1.987018
128,128,16384,95.423599,78.884804,117.292030,13.504086
128,256,32768,106.839096,86.930435,116.227074,9.189254
128,512,65536,119.067886,113.561600,126.803970,3.173529
256,16,4096,152.963684,151.902206,154.296326,0.662913
256,32,8192,121.869263,121.350143,122.564606,0.411030
256,64,16384,109.079956,108.570625,110.073853,0.491132
256,128,32768,108.297791,92.489342,111.200256,5.319481
256,256,65536,105.260086,73.376770,114.325500,14.057534
256,512,131072,118.410477,117.095390,119.272446,0.675318
512,16,8192,153.399643,152.530945,154.510330,0.557267
512,32,16384,121.805153,121.005760,122.444801,0.394047
512,64,32768,109.286171,108.665855,110.381058,0.535826
512,128,65536,110.002151,109.208572,110.867455,0.551100
512,256,131072,112.483047,110.497795,113.796097,1.001464
512,512,262144,112.539856,87.219009,120.707069,12.085470
1024,16,16384,153.190521,151.322266,154.880005,1.191605
1024,32,32768,121.928856,121.102333,122.880768,0.522913
1024,64,65536,109.152931,108.301315,110.204926,0.601918
1024,128,131072,110.388550,109.566978,111.302719,0.528485
1024,256,262144,107.446945,86.206589,113.740768,10.498884
1024,512,524288,110.608505,91.289474,119.469055,11.534044
Filled buckets = 32768 / 32768
