=== Robin Hood Benchmark (NO BACKOFF) ===
Inserting 327680 keys into table of size 32768
Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms
64,16,1024,192.953827,191.724548,194.506683,0.850092
64,32,2048,195.592560,194.676743,196.627457,0.572822
64,64,4096,221.986694,221.539322,222.744217,0.369755
64,128,8192,222.162354,221.650085,223.440903,0.637377
64,256,16384,222.547272,222.064636,224.633850,0.712610
64,512,32768,226.137009,222.253052,232.201218,4.067785
128,16,2048,194.398148,192.071686,200.508423,2.486683
128,32,4096,195.800705,194.556931,197.207047,0.822059
128,64,8192,225.888214,221.715393,232.121338,4.665783
128,128,16384,224.576126,219.621368,229.831680,4.139652
128,256,32768,222.750488,219.918335,230.080505,3.694908
128,512,65536,224.785233,220.472321,230.019073,3.783186
256,16,4096,195.044968,191.630341,201.216934,3.349440
256,32,8192,196.241806,193.523712,201.558014,2.734330
256,64,16384,224.444992,220.061722,230.996994,4.312047
256,128,32768,221.604904,219.935394,228.772675,2.589039
256,256,65536,220.868164,220.391418,221.921280,0.480072
256,512,131072,221.749603,220.601349,224.845535,1.208692
512,16,8192,191.711044,190.041092,193.074020,1.005842
512,32,16384,194.489944,193.673187,195.177475,0.409840
512,64,32768,220.481155,219.730713,220.997635,0.405046
512,128,65536,220.645111,219.666428,222.025467,0.582961
512,256,131072,221.008148,219.703293,225.666946,1.644118
512,512,262144,221.558929,220.499969,224.576508,1.112781
1024,16,16384,191.452682,190.664703,192.631805,0.488141
1024,32,32768,194.350388,193.562332,195.294266,0.480072
1024,64,65536,220.568069,219.655975,221.945602,0.788095
1024,128,131072,220.651901,219.820038,221.474823,0.500000
1024,256,262144,221.301056,220.120743,224.595871,1.328768
1024,512,524288,221.162277,220.265152,221.970428,0.572822
Filled buckets = 32768 / 32768
