=== Robin Hood Benchmark (NO BACKOFF) ===
Inserting 327680 keys into table of size 32768
Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms
64,16,1024,193.374176,192.524292,195.499908,0.800391
64,32,2048,197.273529,195.367844,211.124222,4.641019
64,64,4096,222.388397,221.360931,223.349503,0.664384
64,128,8192,222.106247,221.420547,222.753799,0.385276
64,256,16384,222.555862,221.780869,223.055878,0.364434
64,512,32768,224.028519,222.206970,228.206589,1.964529
128,16,2048,192.957794,191.699844,194.142212,0.793036
128,32,4096,195.951660,194.849701,197.091492,0.795495
128,64,8192,222.638397,221.376511,226.503555,1.405903
128,128,16384,223.504349,221.300644,233.868195,3.529452
128,256,32768,222.720901,221.944839,224.195587,0.586302
128,512,65536,223.359207,222.401154,227.042297,1.271687
256,16,4096,193.088287,192.323578,194.719742,0.637377
256,32,8192,196.040970,195.490433,196.864960,0.433013
256,64,16384,222.077057,221.480957,223.058945,0.569402
256,128,32768,222.789749,221.893631,223.860733,0.592927
256,256,65536,226.004883,220.939270,236.982178,4.983959
256,512,131072,225.637360,221.692734,237.517822,4.616123
512,16,8192,193.295197,192.375809,194.128891,0.537645
512,32,16384,195.856689,194.955170,196.851715,0.631219
512,64,32768,222.016800,220.951553,223.066116,0.690335
512,128,65536,222.531128,221.199356,224.735229,0.980274
512,256,131072,222.443085,221.789185,223.444992,0.492125
512,512,262144,223.417038,222.681030,226.185211,0.947859
1024,16,16384,193.183289,192.746490,194.015228,0.385276
1024,32,32768,197.034576,194.865158,208.813690,3.974037
1024,64,65536,222.521973,221.513626,224.228348,0.920682
1024,128,131072,228.623901,225.828857,237.706238,3.281696
1024,256,262144,229.359711,225.429214,237.167618,3.243383
1024,512,524288,227.979828,222.384125,232.347549,2.453473
Filled buckets = 32768 / 32768
