=== Lock Contention Benchmark (WITH BACKOFF) ===
Array size: 1024 elements (4.00 KB)
Runs per configuration: 10

Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms,Counter,Expected,Correct
1,1,1,0.027853,0.024576,0.055296,0.009157,1,1,YES
1,2,2,0.024794,0.024576,0.025600,0.000405,1,1,YES
1,4,4,0.024576,0.024576,0.024576,0.000000,1,1,YES
1,8,8,0.025088,0.024576,0.027648,0.000944,1,1,YES
1,16,16,0.024589,0.023552,0.025568,0.000454,1,1,YES
1,32,32,0.024576,0.024576,0.024576,0.000000,1,1,YES
1,64,64,0.024592,0.023712,0.025600,0.000423,1,1,YES
1,128,128,0.024499,0.023744,0.024640,0.000252,1,1,YES
1,256,256,0.024883,0.023552,0.025600,0.000656,1,1,YES
2,1,2,0.045261,0.045056,0.046080,0.000410,2,2,YES
2,2,4,0.045363,0.045056,0.046080,0.000470,2,2,YES
2,4,8,0.045382,0.045056,0.046080,0.000460,2,2,YES
2,8,16,0.045466,0.045056,0.047104,0.000679,2,2,YES
2,16,32,0.045261,0.044032,0.046080,0.000615,2,2,YES
2,32,64,0.045590,0.045056,0.047104,0.000672,2,2,YES
2,64,128,0.045562,0.044992,0.046080,0.000519,2,2,YES
2,128,256,0.045158,0.045056,0.046080,0.000308,2,2,YES
2,256,512,0.045158,0.045056,0.046080,0.000308,2,2,YES
4,1,4,0.086733,0.086016,0.087040,0.000468,4,4,YES
4,2,8,0.086528,0.086016,0.087040,0.000511,4,4,YES
4,4,16,0.086656,0.086016,0.087040,0.000475,4,4,YES
4,8,32,0.086630,0.086016,0.087040,0.000500,4,4,YES
4,16,64,0.086646,0.086016,0.087040,0.000484,4,4,YES
4,32,128,0.086938,0.086016,0.089088,0.000851,4,4,YES
4,64,256,0.086547,0.086016,0.087040,0.000495,4,4,YES
4,128,512,0.086938,0.086016,0.088064,0.000552,4,4,YES
4,256,1024,0.087056,0.086016,0.089088,0.000795,4,4,YES
8,1,8,0.169779,0.168960,0.171008,0.000618,8,8,YES
8,2,16,0.169882,0.168960,0.171008,0.000852,8,8,YES
8,4,32,0.170496,0.168960,0.173056,0.001048,8,8,YES
8,8,64,0.170086,0.168960,0.171008,0.000718,8,8,YES
8,16,128,0.169696,0.168960,0.169984,0.000442,8,8,YES
8,32,256,0.170400,0.169984,0.171008,0.000500,8,8,YES
8,64,512,0.169907,0.168960,0.171008,0.000723,8,8,YES
8,128,1024,0.169674,0.168928,0.169984,0.000479,8,8,YES
8,256,2048,0.169994,0.168960,0.171008,0.000618,8,8,YES
16,1,16,0.335443,0.334848,0.335872,0.000511,16,16,YES
16,2,32,0.335190,0.334848,0.335872,0.000488,16,16,YES
16,4,64,0.335667,0.334848,0.335872,0.000449,16,16,YES
16,8,128,0.335437,0.334592,0.335872,0.000573,16,16,YES
16,16,256,0.334950,0.333824,0.335872,0.000727,16,16,YES
16,32,512,0.335360,0.334848,0.335872,0.000532,16,16,YES
16,64,1024,0.335258,0.334848,0.335872,0.000525,16,16,YES
16,128,2048,0.335379,0.334848,0.336064,0.000539,16,16,YES
16,256,4096,0.335472,0.334848,0.336896,0.000691,16,16,YES
32,1,32,0.665088,0.663552,0.665600,0.000897,32,32,YES
32,2,64,0.664883,0.663552,0.666624,0.000791,32,32,YES
32,4,128,0.664682,0.663552,0.665600,0.000880,32,32,YES
32,8,256,0.664576,0.663552,0.665600,0.000946,32,32,YES
32,16,512,0.664886,0.663552,0.666624,0.000772,32,32,YES
32,32,1024,0.665190,0.663552,0.666624,0.000961,32,32,YES
32,64,2048,0.665405,0.664512,0.666624,0.000897,32,32,YES
32,128,4096,0.664883,0.663552,0.666624,0.000791,32,32,YES
32,256,8192,0.664781,0.663552,0.665600,0.000828,32,32,YES
