=== Lock Contention Benchmark (WITH BACKOFF) ===
Array size: 1024 elements (4.00 KB)
Runs per configuration: 10

Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms,Counter,Expected,Correct
1,1,1,0.072016,0.016384,0.493568,0.141117,1,1,YES
1,2,2,0.020410,0.016384,0.021504,0.001411,1,1,YES
1,4,4,0.026013,0.016384,0.085152,0.019805,1,1,YES
1,8,8,0.020166,0.016384,0.021504,0.001788,1,1,YES
1,16,16,0.020579,0.017088,0.021600,0.001259,1,1,YES
1,32,32,0.020496,0.016384,0.021504,0.001449,1,1,YES
1,64,64,0.020912,0.020480,0.021504,0.000488,1,1,YES
1,128,128,0.025005,0.020480,0.060416,0.011813,1,1,YES
1,256,256,0.020464,0.016384,0.047104,0.009048,1,1,YES
2,1,2,0.031203,0.029696,0.034816,0.001834,2,2,YES
2,2,4,0.032115,0.029696,0.034816,0.002233,2,2,YES
2,4,8,0.030941,0.029696,0.034816,0.001736,2,2,YES
2,8,16,0.030346,0.029696,0.030720,0.000345,2,2,YES
2,16,32,0.031056,0.029696,0.034816,0.001920,2,2,YES
2,32,64,0.034243,0.029696,0.070656,0.012145,2,2,YES
2,64,128,0.034714,0.030592,0.040960,0.002459,2,2,YES
2,128,256,0.034269,0.030240,0.035840,0.001444,2,2,YES
2,256,512,0.032310,0.029696,0.034816,0.002183,2,2,YES
4,1,4,0.059610,0.056320,0.061440,0.002263,4,4,YES
4,2,8,0.060694,0.057056,0.061440,0.001297,4,4,YES
4,4,16,0.064397,0.057120,0.097280,0.011035,4,4,YES
4,8,32,0.059763,0.057056,0.062176,0.002099,4,4,YES
4,16,64,0.060733,0.057216,0.061440,0.001247,4,4,YES
4,32,128,0.059757,0.056928,0.061440,0.002064,4,4,YES
4,64,256,0.058989,0.056480,0.062464,0.002452,4,4,YES
4,128,512,0.057174,0.056960,0.057344,0.000154,4,4,YES
4,256,1024,0.057578,0.056512,0.061440,0.001312,4,4,YES
8,1,8,0.112285,0.110464,0.115712,0.002262,8,8,YES
8,2,16,0.112205,0.110592,0.115712,0.002117,8,8,YES
8,4,32,0.111517,0.110464,0.115776,0.001499,8,8,YES
8,8,64,0.111251,0.110368,0.114688,0.001242,8,8,YES
8,16,128,0.111366,0.110560,0.114688,0.001171,8,8,YES
8,32,256,0.111584,0.110592,0.115712,0.001652,8,8,YES
8,64,512,0.111510,0.110592,0.115712,0.001481,8,8,YES
8,128,1024,0.111875,0.110304,0.114688,0.001866,8,8,YES
8,256,2048,0.118717,0.110304,0.173696,0.018461,8,8,YES
16,1,16,0.218291,0.217088,0.222208,0.001414,16,16,YES
16,2,32,0.218566,0.217088,0.222208,0.001863,16,16,YES
16,4,64,0.219472,0.217792,0.223232,0.002108,16,16,YES
16,8,128,0.218390,0.217088,0.223232,0.001699,16,16,YES
16,16,256,0.218525,0.217088,0.222208,0.001893,16,16,YES
16,32,512,0.218867,0.217088,0.221184,0.001543,16,16,YES
16,64,1024,0.218656,0.217056,0.223232,0.002076,16,16,YES
16,128,2048,0.219933,0.217088,0.222368,0.002144,16,16,YES
16,256,4096,0.219651,0.217088,0.223232,0.002328,16,16,YES
32,1,32,0.432832,0.431840,0.436224,0.001495,32,32,YES
32,2,64,0.432077,0.430976,0.435200,0.001085,32,32,YES
32,4,128,0.438211,0.432032,0.459680,0.007395,32,32,YES
32,8,256,0.432842,0.431104,0.436448,0.001819,32,32,YES
32,16,512,0.433811,0.431072,0.438272,0.002708,32,32,YES
32,32,1024,0.432717,0.431104,0.437248,0.002075,32,32,YES
32,64,2048,0.440198,0.431936,0.480256,0.013462,32,32,YES
32,128,4096,0.439645,0.435296,0.468032,0.009479,32,32,YES
32,256,8192,0.433094,0.431104,0.436224,0.001918,32,32,YES
