=== Lock Contention Benchmark (NO BACKOFF) ===
Array size: 128 elements (0.50 KB)
Runs per configuration: 1

Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms,Counter,Expected,Correct
1,1,1,0.409568,0.409568,0.409568,0.000000,1,1,YES
1,2,2,0.008192,0.008192,0.008192,0.000000,1,1,YES
1,4,4,0.009216,0.009216,0.009216,0.000000,1,1,YES
1,8,8,0.005120,0.005120,0.005120,0.000000,1,1,YES
1,16,16,0.009216,0.009216,0.009216,0.000000,1,1,YES
1,32,32,0.005696,0.005696,0.005696,0.000000,1,1,YES
1,64,64,0.005888,0.005888,0.005888,0.000000,1,1,YES
1,128,128,0.005952,0.005952,0.005952,0.000000,1,1,YES
1,256,256,0.008192,0.008192,0.008192,0.000000,1,1,YES
2,1,2,0.012288,0.012288,0.012288,0.000000,2,2,YES
2,2,4,0.011264,0.011264,0.011264,0.000000,2,2,YES
2,4,8,0.011264,0.011264,0.011264,0.000000,2,2,YES
2,8,16,0.008192,0.008192,0.008192,0.000000,2,2,YES
2,16,32,0.008192,0.008192,0.008192,0.000000,2,2,YES
2,32,64,0.011936,0.011936,0.011936,0.000000,2,2,YES
2,64,128,0.008192,0.008192,0.008192,0.000000,2,2,YES
2,128,256,0.008192,0.008192,0.008192,0.000000,2,2,YES
2,256,512,0.008192,0.008192,0.008192,0.000000,2,2,YES
4,1,4,0.017408,0.017408,0.017408,0.000000,4,4,YES
4,2,8,0.017408,0.017408,0.017408,0.000000,4,4,YES
4,4,16,0.017408,0.017408,0.017408,0.000000,4,4,YES
4,8,32,0.014336,0.014336,0.014336,0.000000,4,4,YES
4,16,64,0.014336,0.014336,0.014336,0.000000,4,4,YES
4,32,128,0.014336,0.014336,0.014336,0.000000,4,4,YES
4,64,256,0.014336,0.014336,0.014336,0.000000,4,4,YES
4,128,512,0.035840,0.035840,0.035840,0.000000,4,4,YES
4,256,1024,0.017408,0.017408,0.017408,0.000000,4,4,YES
8,1,8,0.026336,0.026336,0.026336,0.000000,8,8,YES
8,2,16,0.026208,0.026208,0.026208,0.000000,8,8,YES
8,4,32,0.026368,0.026368,0.026368,0.000000,8,8,YES
8,8,64,0.026496,0.026496,0.026496,0.000000,8,8,YES
8,16,128,0.026624,0.026624,0.026624,0.000000,8,8,YES
8,32,256,0.026624,0.026624,0.026624,0.000000,8,8,YES
8,64,512,0.025600,0.025600,0.025600,0.000000,8,8,YES
8,128,1024,0.026624,0.026624,0.026624,0.000000,8,8,YES
8,256,2048,0.026336,0.026336,0.026336,0.000000,8,8,YES
16,1,16,0.051200,0.051200,0.051200,0.000000,16,16,YES
16,2,32,0.050176,0.050176,0.050176,0.000000,16,16,YES
16,4,64,0.051168,0.051168,0.051168,0.000000,16,16,YES
16,8,128,0.051200,0.051200,0.051200,0.000000,16,16,YES
16,16,256,0.051200,0.051200,0.051200,0.000000,16,16,YES
16,32,512,0.073728,0.073728,0.073728,0.000000,16,16,YES
16,64,1024,0.050176,0.050176,0.050176,0.000000,16,16,YES
16,128,2048,0.051200,0.051200,0.051200,0.000000,16,16,YES
16,256,4096,0.050784,0.050784,0.050784,0.000000,16,16,YES
32,1,32,0.100352,0.100352,0.100352,0.000000,32,32,YES
32,2,64,0.122592,0.122592,0.122592,0.000000,32,32,YES
32,4,128,0.104352,0.104352,0.104352,0.000000,32,32,YES
32,8,256,0.100352,0.100352,0.100352,0.000000,32,32,YES
32,16,512,0.100352,0.100352,0.100352,0.000000,32,32,YES
32,32,1024,0.100352,0.100352,0.100352,0.000000,32,32,YES
32,64,2048,0.099872,0.099872,0.099872,0.000000,32,32,YES
32,128,4096,0.100032,0.100032,0.100032,0.000000,32,32,YES
32,256,8192,0.100352,0.100352,0.100352,0.000000,32,32,YES
