=== Lock Contention Benchmark (NO BACKOFF) ===
Array size: 128 elements (0.50 KB)
Runs per configuration: 10

Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms,Counter,Expected,Correct
64,16,1024,0.138246,0.113664,0.338944,0.066907,64,64,YES
64,32,2048,0.117098,0.113664,0.130624,0.004730,64,64,YES
64,64,4096,0.116931,0.113504,0.132160,0.005246,64,64,YES
64,128,8192,0.116454,0.113664,0.117760,0.001458,64,64,YES
64,256,16384,0.116608,0.115712,0.117376,0.000455,64,64,YES
64,512,32768,0.118438,0.113664,0.133696,0.006048,64,64,YES
128,16,2048,0.226627,0.224256,0.227328,0.000911,128,128,YES
128,32,4096,0.225114,0.223232,0.227328,0.001456,128,128,YES
128,64,8192,0.226070,0.223904,0.232448,0.002561,128,128,YES
128,128,16384,0.229101,0.223904,0.252928,0.008073,128,128,YES
128,256,32768,0.226208,0.224256,0.228000,0.001246,128,128,YES
128,512,65536,0.227011,0.223232,0.240640,0.004831,128,128,YES
256,16,4096,0.453466,0.444416,0.505856,0.017735,256,256,YES
256,32,8192,0.483245,0.445088,0.808960,0.108580,256,256,YES
256,64,16384,0.489200,0.445440,0.860160,0.123672,256,256,YES
256,128,32768,0.472237,0.445440,0.691200,0.073000,256,256,YES
256,256,65536,0.447590,0.445440,0.448512,0.000846,256,256,YES
256,512,131072,0.447261,0.445280,0.448512,0.001145,256,256,YES
512,16,8192,0.912170,0.910144,0.914528,0.001656,512,512,YES
512,32,16384,0.911664,0.910080,0.913408,0.001444,512,512,YES
512,64,32768,0.916470,0.914368,0.917504,0.001092,512,512,YES
512,128,65536,0.928291,0.909312,1.076224,0.049340,512,512,YES
512,256,131072,0.909002,0.906240,0.912384,0.001761,512,512,YES
512,512,262144,0.893366,0.890880,0.896576,0.001563,512,512,YES
1024,16,16384,2.058726,2.018304,2.348992,0.097637,1024,1024,YES
1024,32,32768,2.020970,2.017920,2.023424,0.001544,1024,1024,YES
1024,64,65536,2.064211,2.027520,2.371584,0.102474,1024,1024,YES
1024,128,131072,2.015958,2.006976,2.055168,0.013319,1024,1024,YES
1024,256,262144,1.959482,1.952768,1.966080,0.004114,1024,1024,YES
1024,512,524288,1.844800,1.810368,2.130944,0.095405,1024,1024,YES
