=== Lock Contention Benchmark (WITH BACKOFF) ===
Array size: 256 elements (1.00 KB)
Runs per configuration: 1

Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms,Counter,Expected,Correct
64,16,1024,0.460800,0.460800,0.460800,0.000000,64,64,YES
64,32,2048,0.262144,0.262144,0.262144,0.000000,64,64,YES
64,64,4096,0.253568,0.253568,0.253568,0.000000,64,64,YES
64,128,8192,0.257024,0.257024,0.257024,0.000000,64,64,YES
64,256,16384,0.260096,0.260096,0.260096,0.000000,64,64,YES
64,512,32768,0.253888,0.253888,0.253888,0.000000,64,64,YES
128,16,2048,0.482304,0.482304,0.482304,0.000000,128,128,YES
128,32,4096,0.499712,0.499712,0.499712,0.000000,128,128,YES
128,64,8192,0.498688,0.498688,0.498688,0.000000,128,128,YES
128,128,16384,0.498496,0.498496,0.498496,0.000000,128,128,YES
128,256,32768,0.498304,0.498304,0.498304,0.000000,128,128,YES
128,512,65536,0.497600,0.497600,0.497600,0.000000,128,128,YES
256,16,4096,0.976896,0.976896,0.976896,0.000000,256,256,YES
256,32,8192,0.972544,0.972544,0.972544,0.000000,256,256,YES
256,64,16384,0.977920,0.977920,0.977920,0.000000,256,256,YES
256,128,32768,0.966656,0.966656,0.966656,0.000000,256,256,YES
256,256,65536,0.974688,0.974688,0.974688,0.000000,256,256,YES
256,512,131072,0.973792,0.973792,0.973792,0.000000,256,256,YES
512,16,8192,1.952768,1.952768,1.952768,0.000000,512,512,YES
512,32,16384,1.956416,1.956416,1.956416,0.000000,512,512,YES
512,64,32768,1.973248,1.973248,1.973248,0.000000,512,512,YES
512,128,65536,1.956480,1.956480,1.956480,0.000000,512,512,YES
512,256,131072,1.957440,1.957440,1.957440,0.000000,512,512,YES
512,512,262144,1.935360,1.935360,1.935360,0.000000,512,512,YES
1024,16,16384,4.119552,4.119552,4.119552,0.000000,1024,1024,YES
1024,32,32768,4.113408,4.113408,4.113408,0.000000,1024,1024,YES
1024,64,65536,4.162560,4.162560,4.162560,0.000000,1024,1024,YES
1024,128,131072,4.456448,4.456448,4.456448,0.000000,1024,1024,YES
1024,256,262144,4.058016,4.058016,4.058016,0.000000,1024,1024,YES
1024,512,524288,3.886848,3.886848,3.886848,0.000000,1024,1024,YES
