=== Lock Contention Benchmark (NO BACKOFF) ===
Array size: 256 elements (1.00 KB)
Runs per configuration: 1

Blocks,Threads,Total_Threads,Avg_Time_ms,Min_Time_ms,Max_Time_ms,StdDev_ms,Counter,Expected,Correct
64,16,1024,0.455680,0.455680,0.455680,0.000000,64,64,YES
64,32,2048,0.224256,0.224256,0.224256,0.000000,64,64,YES
64,64,4096,0.221024,0.221024,0.221024,0.000000,64,64,YES
64,128,8192,0.221184,0.221184,0.221184,0.000000,64,64,YES
64,256,16384,0.220960,0.220960,0.220960,0.000000,64,64,YES
64,512,32768,0.220160,0.220160,0.220160,0.000000,64,64,YES
128,16,2048,0.437248,0.437248,0.437248,0.000000,128,128,YES
128,32,4096,0.437248,0.437248,0.437248,0.000000,128,128,YES
128,64,8192,0.438272,0.438272,0.438272,0.000000,128,128,YES
128,128,16384,0.458752,0.458752,0.458752,0.000000,128,128,YES
128,256,32768,0.437248,0.437248,0.437248,0.000000,128,128,YES
128,512,65536,0.458464,0.458464,0.458464,0.000000,128,128,YES
256,16,4096,0.892928,0.892928,0.892928,0.000000,256,256,YES
256,32,8192,0.885760,0.885760,0.885760,0.000000,256,256,YES
256,64,16384,0.897024,0.897024,0.897024,0.000000,256,256,YES
256,128,32768,0.892928,0.892928,0.892928,0.000000,256,256,YES
256,256,65536,0.885536,0.885536,0.885536,0.000000,256,256,YES
256,512,131072,0.891904,0.891904,0.891904,0.000000,256,256,YES
512,16,8192,1.789824,1.789824,1.789824,0.000000,512,512,YES
512,32,16384,1.790944,1.790944,1.790944,0.000000,512,512,YES
512,64,32768,1.799168,1.799168,1.799168,0.000000,512,512,YES
512,128,65536,1.790976,1.790976,1.790976,0.000000,512,512,YES
512,256,131072,1.788128,1.788128,1.788128,0.000000,512,512,YES
512,512,262144,1.769472,1.769472,1.769472,0.000000,512,512,YES
1024,16,16384,3.785728,3.785728,3.785728,0.000000,1024,1024,YES
1024,32,32768,3.784672,3.784672,3.784672,0.000000,1024,1024,YES
1024,64,65536,3.981312,3.981312,3.981312,0.000000,1024,1024,YES
1024,128,131072,3.756032,3.756032,3.756032,0.000000,1024,1024,YES
1024,256,262144,3.695616,3.695616,3.695616,0.000000,1024,1024,YES
1024,512,524288,3.533728,3.533728,3.533728,0.000000,1024,1024,YES
